Timestamp,DeviceId,DeviceName,ActionType,LogonType,AccountDomain,AccountName,AccountSid,Protocol,FailureReason,IsLocalAdmin,LogonId,RemoteDeviceName,RemoteIP,RemoteIPType,RemotePort,InitiatingProcessAccountDomain,InitiatingProcessAccountName,InitiatingProcessAccountSid,InitiatingProcessAccountUpn,InitiatingProcessAccountObjectId,InitiatingProcessIntegrityLevel,InitiatingProcessTokenElevation,InitiatingProcessSHA1,InitiatingProcessSHA256,InitiatingProcessMD5,InitiatingProcessFileName,InitiatingProcessFileSize,InitiatingProcessVersionInfoCompanyName,InitiatingProcessVersionInfoProductName,InitiatingProcessVersionInfoProductVersion,InitiatingProcessVersionInfoInternalFileName,InitiatingProcessVersionInfoOriginalFileName,InitiatingProcessVersionInfoFileDescription,InitiatingProcessId,InitiatingProcessCommandLine,InitiatingProcessCreationTime,InitiatingProcessFolderPath,InitiatingProcessParentId,InitiatingProcessParentFileName,InitiatingProcessParentCreationTime,ReportId,AppGuardContainerId,AdditionalFields,InitiatingProcessSessionId,IsInitiatingProcessRemoteSession,InitiatingProcessRemoteSessionDeviceName,InitiatingProcessRemoteSessionIP,InitiatingProcessUniqueId
"Sep 22, 2025 4:04:28 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,adm,,NTLM,InvalidUserNameOrPassword,,,workstation,24.213.177.43,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,3898,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 22, 2025 3:37:04 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,adm,,NTLM,InvalidUserNameOrPassword,,,workstation,14.116.250.236,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,3173,,"{""IsLocalLogon"":false}",0,0,,,0
"Sep 22, 2025 3:20:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-1,S-1-5-90-0-1,Negotiate,,,63331,,,,,,,,,,,None,,,,,,,,,,,,744,,Invalid date,,0,,Invalid date,222,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 22, 2025 3:20:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,window manager,dwm-1,S-1-5-90-0-1,Negotiate,,,63306,,,,,,,,,,,None,,,,,,,,,,,,744,,Invalid date,,0,,Invalid date,221,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 22, 2025 3:20:07 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,window manager,dwm-1,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,,None,,,,,,,,,,,,744,,Invalid date,,0,,Invalid date,220,,,0,0,,,0
"Sep 22, 2025 3:20:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,font driver host,umfd-0,S-1-5-96-0-0,Negotiate,,,38500,,,,,nt authority,system,S-1-5-18,,,System,TokenElevationTypeDefault,39a63e89c66f4f72f51531c045c891efd62cdd08,ba26910be549b8700c08fbe2f160952288864470a30dd35c3c6b7782f7dbf857,0774f3ce67b739aa9511254686259324,wininit.exe,442728,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,WinInit,WinInit.exe,Windows Start-Up Application,628,wininit.exe,"Sep 22, 2025 3:20:04 PM",c:\windows\system32\wininit.exe,552,smss.exe,"Sep 22, 2025 3:20:04 PM",117,,"{""IsLocalLogon"":true}",0,0,,,14355223812243464
"Sep 22, 2025 3:20:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,font driver host,umfd-0,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,System,TokenElevationTypeDefault,39a63e89c66f4f72f51531c045c891efd62cdd08,ba26910be549b8700c08fbe2f160952288864470a30dd35c3c6b7782f7dbf857,0774f3ce67b739aa9511254686259324,wininit.exe,442728,Microsoft Corporation,Microsoft® Windows® Operating System,10.0.19041.6280,WinInit,WinInit.exe,Windows Start-Up Application,628,wininit.exe,"Sep 22, 2025 3:20:04 PM",c:\windows\system32\wininit.exe,552,smss.exe,"Sep 22, 2025 3:20:04 PM",116,,,0,0,,,14355223812243464
"Sep 22, 2025 3:20:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonSuccess,Interactive,font driver host,umfd-1,S-1-5-96-0-1,Negotiate,,,38427,,,,,,,,,,,None,,,,,,,,,,,,744,,Invalid date,,0,,Invalid date,219,,"{""IsLocalLogon"":true}",0,0,,,0
"Sep 22, 2025 3:20:06 PM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonAttempted,Unknown,font driver host,umfd-1,,,,,,,-,,,workgroup,slflarewinsysmo$,S-1-5-18,,,,None,,,,,,,,,,,,744,,Invalid date,,0,,Invalid date,218,,,0,0,,,0
"Sep 21, 2025 3:21:55 AM",401039d292f73a34a435e685c7090049cb7ce6d5,slflarewinsysmo,LogonFailed,Network,,administrator,,NTLM,InvalidUserNameOrPassword,,,workstation,80.94.95.198,Public,0,,,,,,,None,,,,,,,,,,,,0,,Invalid date,,0,,Invalid date,11462,,"{""IsLocalLogon"":false}",0,0,,,0
