Timestamp,FileName,ProcessCommandLine,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName
"Sep 16, 2025 2:43:48 PM",TSTheme.exe,TSTheme.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:43:48 PM",rdpclip.exe,rdpclip,svchost.exe,svchost.exe -k NetworkService,services.exe
"Sep 16, 2025 2:43:49 PM",sihost.exe,sihost.exe,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:43:50 PM",svchost.exe,svchost.exe -k UnistackSvcGroup,services.exe,services.exe,wininit.exe
"Sep 16, 2025 2:43:51 PM",cmd.exe,"""cmd.exe"" /c calc.exe",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:43:51 PM",taskhostw.exe,taskhostw.exe USER,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:43:51 PM",taskhostw.exe,taskhostw.exe,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:43:51 PM",taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:43:52 PM",ctfmon.exe,ctfmon.exe,svchost.exe,svchost.exe -k LocalSystemNetworkRestricted -p,services.exe
"Sep 16, 2025 2:43:54 PM",userinit.exe,userinit.exe,winlogon.exe,winlogon.exe,smss.exe
"Sep 16, 2025 2:43:55 PM",explorer.exe,Explorer.EXE,userinit.exe,userinit.exe,winlogon.exe
"Sep 16, 2025 2:44:00 PM",conhost.exe,conhost.exe 0xffffffff -ForceV1,cmd.exe,"""cmd.exe"" /c calc.exe",svchost.exe
"Sep 16, 2025 2:44:10 PM",svchost.exe,svchost.exe -k ClipboardSvcGroup -p,services.exe,services.exe,wininit.exe
"Sep 16, 2025 2:44:11 PM",dllhost.exe,DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:12 PM",backgroundTaskHost.exe,"""BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:14 PM",StartMenuExperienceHost.exe,"""StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:17 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:21 PM",SearchApp.exe,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:21 PM",taskhostw.exe,taskhostw.exe SyncFromCloud,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:24 PM",wlrmdr.exe, -c -s 0 -f 0 -t Empty -m Empty -a 0 -u Empty,winlogon.exe,winlogon.exe,smss.exe
"Sep 16, 2025 2:44:24 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:28 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:34 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXe9cvj1thv1hmcw0cs98xm3r97tyzy2xs.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:37 PM",ClipESUConsumer.exe,"""ClipESUConsumer.exe"" -evaluateEligibility",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:37 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:ShellFeedsUI.AppXnj65k2d1a1rnztt2t2nng5ctmk3e76pn.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:37 PM",calc.exe,calc.exe,cmd.exe,"""cmd.exe"" /c calc.exe",svchost.exe
"Sep 16, 2025 2:44:37 PM",ClipESUConsumer.exe,"""ClipESUConsumer.exe"" -processRefund",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",backgroundTaskHost.exe,"""backgroundTaskHost.exe"" -ServerName:App.AppXapskvk16gk8da8kch5g4qxh42vxccved.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:38 PM",OneDriveStandaloneUpdater.exe,"""OneDriveStandaloneUpdater.exe"" /reporting",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",OneDriveStandaloneUpdater.exe,OneDriveStandaloneUpdater.exe,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",taskhostw.exe,taskhostw.exe,svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",BraveUpdate.exe,"""BraveUpdate.exe"" /c",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",BraveUpdate.exe,"""BraveUpdate.exe"" /ua /installsource scheduler",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:38 PM",rundll32.exe,"""rundll32.exe"" C:\Windows\system32\PcaSvc.dll,PcaWallpaperAppDetect",svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:39 PM",HxTsr.exe,"""HxTsr.exe"" -ServerName:Hx.IPC.Server",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:41 PM",mobsync.exe,mobsync.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:46 PM",dllhost.exe,DllHost.exe /Processid:{722D0F89-B69C-4700-AE8C-4A44350E4876},svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:47 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:48 PM",smartscreen.exe,smartscreen.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:51 PM",SecurityHealthSystray.exe,SecurityHealthSystray.exe,explorer.exe,Explorer.EXE,userinit.exe
"Sep 16, 2025 2:44:52 PM",RuntimeBroker.exe,RuntimeBroker.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:44:52 PM",OneDrive.exe,"""OneDrive.exe"" /background",explorer.exe,Explorer.EXE,userinit.exe
"Sep 16, 2025 2:44:54 PM",BraveUpdateCore.exe,BraveUpdateCore.exe,explorer.exe,Explorer.EXE,userinit.exe
"Sep 16, 2025 2:44:55 PM",cmd.exe,"""cmd.exe"" /q /c del /q ""C:\Users\SLFlare\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe""",explorer.exe,Explorer.EXE,userinit.exe
"Sep 16, 2025 2:44:55 PM",conhost.exe,conhost.exe 0xffffffff -ForceV1,cmd.exe,"""cmd.exe"" /q /c del /q ""C:\Users\SLFlare\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe""",explorer.exe
"Sep 16, 2025 2:44:56 PM",cmd.exe,"""cmd.exe"" /q /c del /q ""C:\Users\SLFlare\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe""",explorer.exe,Explorer.EXE,userinit.exe
"Sep 16, 2025 2:44:56 PM",taskhostw.exe,taskhostw.exe $(Arg0),svchost.exe,svchost.exe -k netsvcs -p,services.exe
"Sep 16, 2025 2:44:57 PM",conhost.exe,conhost.exe 0xffffffff -ForceV1,cmd.exe,"""cmd.exe"" /q /c del /q ""C:\Users\SLFlare\AppData\Local\Microsoft\OneDrive\StandaloneUpdater\OneDriveSetup.exe""",explorer.exe
"Sep 16, 2025 2:45:00 PM",BraveUpdate.exe,"""BraveUpdate.exe"" /c",braveupdatecore.exe,BraveUpdateCore.exe,explorer.exe
"Sep 16, 2025 2:45:07 PM",FileCoAuth.exe,"""FileCoAuth.exe"" -Embedding",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:45:08 PM",dllhost.exe,DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:45:10 PM",backgroundTaskHost.exe,"""BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:45:15 PM",BraveUpdate.exe,"""BraveUpdate.exe"" /cr",braveupdate.exe,"""BraveUpdate.exe"" /c",BraveUpdateCore.exe
"Sep 16, 2025 2:45:21 PM",BraveCrashHandler.exe,BraveCrashHandler.exe,braveupdate.exe,"""BraveUpdate.exe"" /c",BraveUpdateCore.exe
"Sep 16, 2025 2:45:21 PM",SearchApp.exe,"""SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca",svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:45:31 PM",BraveCrashHandler64.exe,BraveCrashHandler64.exe,braveupdate.exe,"""BraveUpdate.exe"" /c",BraveUpdateCore.exe
"Sep 16, 2025 2:45:36 PM",OneDriveSetup.exe,"""OneDriveSetup.exe"" /update /restart /updateSource:ODU ",onedrive.exe,"""OneDrive.exe"" /background",explorer.exe
"Sep 16, 2025 2:45:41 PM",MusNotificationUx.exe,MusNotificationUx.exe ClearActiveNotifications,musnotification.exe,"""MusNotification.exe"" LogonUpdateResults",svchost.exe
"Sep 16, 2025 2:45:41 PM",OneDriveSetup.exe,OneDriveSetup.exe /update /restart /updateSource:ODU  /peruser  /childprocess  /extractFilesWithLessThreadCount  /renameReplaceOneDriveExe  /renameReplaceODSUExe  /removeNonCurrentVersions  /enableODSUReportingMode  /installWebView2  /SetPerProcessSystemDPIForceOffKey /EnableNucleusAutoStartFix /RegisterOneDriveLauncherAutoStartTask /EnableOneDriveLauncherRampDownloads /ReLaunchOD4AppHarness,onedrivesetup.exe,"""OneDriveSetup.exe"" /update /restart /updateSource:ODU ",OneDrive.exe
"Sep 16, 2025 2:45:43 PM",BraveUpdate.exe,"""BraveUpdate.exe"" /ua /installsource core",braveupdate.exe,"""BraveUpdate.exe"" /c",BraveUpdateCore.exe
"Sep 16, 2025 2:45:46 PM",ApplicationFrameHost.exe,ApplicationFrameHost.exe -Embedding,svchost.exe,svchost.exe -k DcomLaunch -p,services.exe
"Sep 16, 2025 2:45:47 PM",CalculatorApp.exe,CalculatorApp.exe,sihost.exe,sihost.exe,svchost.exe
